"","iri","label","type","parentlabel","category","definition","min","max","average","upper_quartile","lower_quartile","number_distinct_values","distinct_values","variable"
"615","EUPATH_0011211","Bacille Calmette-Guerin (BCG) vaccine doses prior to blood draw","number","Blood sample collection process","Sample","Number of Bacille Calmette-Guerin (BCG) vaccine doses the participant received prior to blood draw. Relevant to assessment of antibody titers in blood samples collected at 7 and 15 months of age. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","0","2",0.984798807749628,"1","1",3,"","vax_and_titer_wdates::bcgnbefbl"
"621","EUPATH_0011223","Deworming treatments prior to blood draw","string","Blood sample collection process","Sample","Number of deworming treatments the participant received prior to blood draw. Relevant to assessment of antibody titers in blood samples collected at 7 and 15 months of age. Deworming history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for dewormings, contact the provider.","","",NA,"","",2,"No|Yes","vax_and_titer_wdates::dewormnbefbl"
"631","EUPATH_0011279","Inactivated poliovirus vaccine (IPV) doses prior to blood draw","number","Blood sample collection process","Sample","Number of Inactivated Poliovirus (IPV) vaccine doses the participant received prior to blood draw. Relevant to assessment of antibody titers in blood samples collected at 7 and 15 months of age. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","0","4",0.360953800298063,"0","0",5,"","vax_and_titer_wdates::ipvnbefbl"
"637","EUPATH_0011287","Log2 measles titer (IU/L), by ELISA result","number","Raw antibody titer test result","Sample","Measles titer (IU/L) in log2 scale. If measles titer is 0, log2(measles titer) is set to 0. Antibody titers in response to vaccination and/or natural exposure were assessed in blood samples collected at 7 and 15 months of age. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display.","0","14.48",6.97724292101341,"9.06","5.17",633,"","vax_and_titer_wdates::log2mea"
"638","EUPATH_0011288","Log2 pertussis titer (IU/mL), by ELISA result","number","Raw antibody titer test result","Sample","Pertussis titer (IU/mL) in log2 scale. If pertussis titer is 0, log2(pertussis titer) is set to 0. Antibody titers in response to vaccination and/or natural exposure were assessed in blood samples collected at 7 and 15 months of age. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display.","0","10.51",3.38665474060823,"5.61","0",264,"","vax_and_titer_wdates::log2per"
"639","EUPATH_0011289","Log2 polio IgG titer (U/mL), by ELISA result","number","Raw antibody titer test result","Sample","Polio IgG titer (U/mL) in log2 scale. If polio IgG titer is 0, log2(polio IgG titer) is set to 0. Antibody titers in response to vaccination and/or natural exposure were assessed in blood samples collected at 7 and 15 months of age. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display.","1","9.91",5.94148701104807,"6.64","5.46",241,"","vax_and_titer_wdates::log2poligg"
"640","EUPATH_0011290","Log2 polio serotype 1 titer, by microneutralization result","number","Raw antibody titer test result","Sample","Polio Serotype 1 titer in log2 scale + 0.5. Antibody titers in response to vaccination and/or natural exposure were assessed in blood samples collected at 7 and 15 months of age. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display.","2.5","10.5",9.33347734773477,"10.5","9.17",31,"","vax_and_titer_wdates::log2pol1n"
"641","EUPATH_0011291","Log2 polio serotype 2 titer, by microneutralization result","number","Raw antibody titer test result","Sample","Polio Serotype 2 titer in log2 scale + 0.5. Antibody titers in response to vaccination and/or natural exposure were assessed in blood samples collected at 7 and 15 months of age. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display.","2.5","10.5",9.35126312631263,"10.5","8.84",30,"","vax_and_titer_wdates::log2pol2n"
"642","EUPATH_0011292","Log2 polio serotype 3 titer, by microneutralization result","number","Raw antibody titer test result","Sample","Polio Serotype 3 titer in log2 scale + 0.5. Antibody titers in response to vaccination and/or natural exposure were assessed in blood samples collected at 7 and 15 months of age. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display.","2.5","10.5",8.26533753375338,"10.5","6.82",33,"","vax_and_titer_wdates::log2pol3n"
"643","EUPATH_0011293","Log2 rotavirus IgG titer (U/mL), by ELISA result","number","Raw antibody titer test result","Sample","Rotavirus IgG titer (U/mL) in log2 scale. If Rotavirus IgG titer is 0, log2(Rotavirus IgG titer) is set to 0. Antibody titers in response to vaccination and/or natural exposure were assessed in blood samples collected at 7 and 15 months of age. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display. For the histogram displayed on the ClinEpiDB website, the y-axis has been truncated to the second most abundant value if the most abundant value has over twice as many occurences. Change the 'Plot Settings' to update the histogram display.","0","15.36",9.38632194244604,"12.5","7.25",859,"","vax_and_titer_wdates::log2rotag"
