"","iri","label","type","parentlabel","category","definition","min","max","average","upper_quartile","lower_quartile","number_distinct_values","distinct_values","variable"
"343","EUPATH_0010794","Cumulative sum Rotavirus-pos stools","number","Rotavirus aggregate data","Sample","Cumulative sum of stool samples positive for Rotavirus by ELISA to date per participant. Any positive Rotavirus test result within 28 days of Rotavirus vaccination was changed to be a negative result. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).","0","4",0.214691151919866,"0","0",5,"","micro_x::rota_cum"
"344","EUPATH_0010795","Cumulative sum Rotavirus-pos 1st diarrheal stools","number","Rotavirus aggregate data","Sample","Cumulative sum of first diarrheal stool samples positive for Rotavirus by ELISA to date per participant. Any positive Rotavirus test result within 28 days of Rotavirus vaccination was changed to be a negative result. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age).","0","4",0.246856012434647,"0","0",5,"","micro_x::rota_cum_d"
"345","EUPATH_0010796","Cumulative sum Rotavirus-pos 1st monthly stools","number","Rotavirus aggregate data","Sample","Cumulative sum of first monthly asymptomatic stool samples positive for Rotavirus by ELISA to date per participant. Any positive Rotavirus test result within 28 days of Rotavirus vaccination was changed to be a negative result. Work up for detection of enteric pathogens was performed on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).","0","3",0.0952528220194835,"0","0",4,"","micro_x::rota_cum_m"
"614","EUPATH_0011210","Total Bacille Calmette-Guerin (BCG) vaccine doses","number","Aggregated immunization and prevention data","Participant","Total Bacille Calmette-Guerin (BCG) vaccine doses, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","2",1.0078431372549,"1","1",2,"","aggregatedVax::bcgdosen"
"615","EUPATH_0011211","Bacille Calmette-Guerin (BCG) vaccine doses prior to blood draw","number","Blood sample collection process","Sample","Number of Bacille Calmette-Guerin (BCG) vaccine doses the participant received prior to blood draw. Relevant to assessment of antibody titers in blood samples collected at 7 and 15 months of age. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","0","2",0.984798807749628,"1","1",3,"","vax_and_titer_wdates::bcgnbefbl"
"616","EUPATH_0011214","Total varicella vaccine doses","number","Aggregated immunization and prevention data","Participant","Total Varicella vaccine doses, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","1",1,"1","1",1,"","aggregatedVax::cpoxdosen"
"620","EUPATH_0011222","Total deworming treatments","number","Aggregated immunization and prevention data","Participant","Total deworming treatments, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","3",1.18181818181818,"1","1",3,"","aggregatedVax::dewormdosen"
"622","EUPATH_0011234","Total diphtheria, pertussis, and tetanus (DPT) vaccine doses","number","Aggregated immunization and prevention data","Participant","Total diphtheria, pertussis, and tetanus (DPT) vaccine doses, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","6",3.13208477082307,"4","3",6,"","aggregatedVax::dptdosen"
"624","EUPATH_0011246","Total influenza vaccine doses","number","Aggregated immunization and prevention data","Participant","Total influenza vaccine doses, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","5",2.23958333333333,"3","2",5,"","aggregatedVax::fludosen"
"625","EUPATH_0011257","Total hepatitis B vaccine doses","number","Aggregated immunization and prevention data","Participant","Total hepatitis B vaccine doses, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","5",2.93600390815828,"3","3",5,"","aggregatedVax::hepbdosen"
