"","iri","label","type","parentlabel","category","definition","min","max","average","upper_quartile","lower_quartile","number_distinct_values","distinct_values","variable"
"614","EUPATH_0011210","Total Bacille Calmette-Guerin (BCG) vaccine doses","number","Aggregated immunization and prevention data","Participant","Total Bacille Calmette-Guerin (BCG) vaccine doses, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","2",1.0078431372549,"1","1",2,"","aggregatedVax::bcgdosen"
"615","EUPATH_0011211","Bacille Calmette-Guerin (BCG) vaccine doses prior to blood draw","number","Blood sample collection process","Sample","Number of Bacille Calmette-Guerin (BCG) vaccine doses the participant received prior to blood draw. Relevant to assessment of antibody titers in blood samples collected at 7 and 15 months of age. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","0","2",0.984798807749628,"1","1",3,"","vax_and_titer_wdates::bcgnbefbl"
"616","EUPATH_0011214","Total varicella vaccine doses","number","Aggregated immunization and prevention data","Participant","Total Varicella vaccine doses, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","1",1,"1","1",1,"","aggregatedVax::cpoxdosen"
"622","EUPATH_0011234","Total diphtheria, pertussis, and tetanus (DPT) vaccine doses","number","Aggregated immunization and prevention data","Participant","Total diphtheria, pertussis, and tetanus (DPT) vaccine doses, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","6",3.13208477082307,"4","3",6,"","aggregatedVax::dptdosen"
"624","EUPATH_0011246","Total influenza vaccine doses","number","Aggregated immunization and prevention data","Participant","Total influenza vaccine doses, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","5",2.23958333333333,"3","2",5,"","aggregatedVax::fludosen"
"625","EUPATH_0011257","Total hepatitis B vaccine doses","number","Aggregated immunization and prevention data","Participant","Total hepatitis B vaccine doses, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","5",2.93600390815828,"3","3",5,"","aggregatedVax::hepbdosen"
"626","EUPATH_0011267","Total Haemophilus influenzae type B vaccine doses","number","Aggregated immunization and prevention data","Participant","Total Haemophilus influenzae type B vaccine doses, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","5",2.95345104333868,"3","3",5,"","aggregatedVax::hibdosen"
"631","EUPATH_0011279","Inactivated poliovirus vaccine (IPV) doses prior to blood draw","number","Blood sample collection process","Sample","Number of Inactivated Poliovirus (IPV) vaccine doses the participant received prior to blood draw. Relevant to assessment of antibody titers in blood samples collected at 7 and 15 months of age. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","0","4",0.360953800298063,"0","0",5,"","vax_and_titer_wdates::ipvnbefbl"
"632","EUPATH_0011282","Total Japanese encephalitis vaccine doses","number","Aggregated immunization and prevention data","Participant","Total Japanese encephalitis vaccine doses, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","1",1,"1","1",1,"","aggregatedVax::jedosen"
"648","EUPATH_0011306","Total measles vaccine doses","number","Aggregated immunization and prevention data","Participant","Total measles vaccine doses, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","5",1.76295864880606,"2","1",5,"","aggregatedVax::meadosen"
"650","EUPATH_0011308","Measles vaccine doses prior to blood draw","number","Blood sample collection process","Sample","Number of measles vaccine doses the participant received prior to blood draw. Relevant to assessment of antibody titers in blood samples collected at 7 and 15 months of age. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","0","3",0.510581222056632,"1","0",4,"","vax_and_titer_wdates::meanbefbl"
"652","EUPATH_0011316","Total meningitis vaccine doses","number","Aggregated immunization and prevention data","Participant","Total meningitis vaccine doses, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","3",1.98445595854922,"3","1",3,"","aggregatedVax::mendosen"
"653","EUPATH_0011323","Total measles, mumps, and rubella (MMR) vaccine doses","number","Aggregated immunization and prevention data","Participant","Total measles, mumps, and rubella (MMR) vaccine doses, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","5",1.27479674796748,"1","1",5,"","aggregatedVax::mmrdosen"
"663","EUPATH_0011384","Total oral poliovirus vaccine (OPV) doses","number","Aggregated immunization and prevention data","Participant","Total oral Poliovirus (OPV) vaccine doses, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","38",7.75449684005834,"8","3",38,"","aggregatedVax::opvdosen"
"664","EUPATH_0011385","Oral poliovirus vaccine (OPV) doses prior to blood draw","number","Blood sample collection process","Sample","Number of oral Poliovirus (OPV) vaccine doses the participant received prior to blood draw. Relevant to assessment of antibody titers in blood samples collected at 7 and 15 months of age. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","0","14",4.18509687034277,"5","3",15,"","vax_and_titer_wdates::opvnbefbl"
"665","EUPATH_0011394","Total pneumococcal conjugate vaccine (PCV) doses","number","Aggregated immunization and prevention data","Participant","Total pneumococcal conjugate (PCV) vaccine doses, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","4",2.66535947712418,"3","2",4,"","aggregatedVax::pcvdosen"
"667","EUPATH_0011396","Diphtheria, pertussis, and tetanus (DPT) vaccine doses prior to blood draw","number","Blood sample collection process","Sample","Number of diphtheria, pertussis, and tetanus (DPT) vaccine doses the participant received prior to blood draw. Relevant to assessment of antibody titers in blood samples collected at 7 and 15 months of age. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","0","4",2.78479880774963,"3","3",5,"","vax_and_titer_wdates::pernbefbl"
"674","EUPATH_0011411","Total rabies vaccine doses","number","Aggregated immunization and prevention data","Participant","Total rabies vaccine doses, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","5",2.5,"3","1",5,"","aggregatedVax::rabdosen"
"676","EUPATH_0011427","Total rotavirus vaccine doses","number","Aggregated immunization and prevention data","Participant","Total Rotavirus vaccine doses, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","3",1.86500655307995,"2","2",3,"","aggregatedVax::rotadosen"
"677","EUPATH_0011429","Rotavirus vaccine doses prior to blood draw","number","Blood sample collection process","Sample","Number of Rotavirus vaccine doses the participant received prior to blood draw. Relevant to assessment of antibody titers in blood samples collected at 7 and 15 months of age. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","0","3",0.692697466467958,"2","0",4,"","vax_and_titer_wdates::rotanbefbl"
"678","EUPATH_0011436","Total rubella vaccine doses","number","Aggregated immunization and prevention data","Participant","Total rubella vaccine doses, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","5",1.41791044776119,"2","1",5,"","aggregatedVax::rubdosen"
"682","EUPATH_0011441","Total yellow fever vaccine doses","number","Aggregated immunization and prevention data","Participant","Total yellow fever vaccine doses, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","1",1,"1","1",1,"","aggregatedVax::yfdosen"
"683","EUPATH_0011459","Total tetanus vaccine doses","number","Aggregated immunization and prevention data","Participant","Total tetanus vaccine doses, based on a reconstructed history. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","1","9",3.13997042878265,"4","3",7,"","aggregatedVax::tetadosen"
"684","EUPATH_0011460","Tetanus vaccine doses prior to blood draw","number","Blood sample collection process","Sample","Number of tetanus vaccine doses the participant received prior to blood draw. Relevant to assessment of antibody titers in blood samples collected at 7 and 15 months of age. Vaccination history was assessed every 3 months from 3-12 months of age and from 24-36 months of age. For more information about the information source for vaccinations, contact the provider.","0","9",2.78509687034277,"3","3",6,"","vax_and_titer_wdates::tetnbefbl"
