"Level..a.","Level..b.","p.value","X..No.difference"
"Measles_15m","Pertussis_7m",6.68915950184877e-16,"Reject"
"Measles_15m","Polio IgG_7m",8.8087780292214e-16,"Reject"
"Measles_15m","Rotavirus IgG_15m",8.47612046144754e-30,"Reject"
"Measles_15m","Tetanus_7m",0.21883815345344,"Not reject"
"Pertussis_7m","Polio IgG_7m",1,"Not reject"
"Pertussis_7m","Rotavirus IgG_15m",7.59556159699576e-33,"Reject"
"Pertussis_7m","Tetanus_7m",6.04302875923213e-26,"Reject"
"Polio IgG_7m","Rotavirus IgG_15m",7.85978592836327e-33,"Reject"
"Polio IgG_7m","Tetanus_7m",8.22265921238424e-26,"Reject"
"Rotavirus IgG_15m","Tetanus_7m",9.92824959263632e-29,"Reject"
