"Level..a.","Level..b.","p.value","X..No.difference"
"Measles_15m","Pertussis_7m",4.73890928932609e-16,"Reject"
"Measles_15m","Polio IgG_7m",8.8087780292214e-16,"Reject"
"Measles_15m","Rotavirus IgG_15m",9.23480003807091e-29,"Reject"
"Measles_15m","Tetanus_7m",0.299436276265758,"Not reject"
"Pertussis_7m","Polio IgG_7m",0.0478585782492711,"Reject"
"Pertussis_7m","Rotavirus IgG_15m",5.2455853429575e-32,"Reject"
"Pertussis_7m","Tetanus_7m",5.892099001543e-26,"Reject"
"Polio IgG_7m","Rotavirus IgG_15m",5.66880811219873e-32,"Reject"
"Polio IgG_7m","Tetanus_7m",1.18282807840027e-25,"Reject"
"Rotavirus IgG_15m","Tetanus_7m",1.04748823044783e-27,"Reject"
