"Level..a.","Level..b.","p.value","X..No.difference"
"Measles_15m","Pertussis_7m",2.55055573110582e-34,"Reject"
"Measles_15m","Polio IgG_7m",4.20893806626737e-34,"Reject"
"Measles_15m","Rotavirus IgG_15m",0.00684183176736954,"Reject"
"Measles_15m","Tetanus_7m",1,"Not reject"
"Pertussis_7m","Polio IgG_7m",1,"Not reject"
"Pertussis_7m","Rotavirus IgG_15m",6.27731495582546e-08,"Reject"
"Pertussis_7m","Tetanus_7m",3.36578872069901e-23,"Reject"
"Polio IgG_7m","Rotavirus IgG_15m",6.68649553649298e-08,"Reject"
"Polio IgG_7m","Tetanus_7m",4.69175453238355e-23,"Reject"
"Rotavirus IgG_15m","Tetanus_7m",0.0122337271511335,"Reject"
