"Level..a.","Level..b.","p.value","X..No.difference"
"Measles_15m","Pertussis_7m",1.39739047625808e-34,"Reject"
"Measles_15m","Polio IgG_7m",4.20893806626737e-34,"Reject"
"Measles_15m","Rotavirus IgG_15m",0.0626039838294411,"Not reject"
"Measles_15m","Tetanus_7m",1,"Not reject"
"Pertussis_7m","Polio IgG_7m",0.00184026354555708,"Reject"
"Pertussis_7m","Rotavirus IgG_15m",8.6010284442879e-08,"Reject"
"Pertussis_7m","Tetanus_7m",2.25612749326499e-23,"Reject"
"Polio IgG_7m","Rotavirus IgG_15m",1.01831541658869e-07,"Reject"
"Polio IgG_7m","Tetanus_7m",4.69175453238355e-23,"Reject"
"Rotavirus IgG_15m","Tetanus_7m",0.112344115105813,"Not reject"
