"Level..a.","Level..b.","p.value","X..No.difference"
"Measles_15m","Pertussis_7m",1.08604360140823e-05,"Reject"
"Measles_15m","Polio IgG_7m",1.15684314378299e-05,"Reject"
"Measles_15m","Rotavirus IgG_15m",2.81455108442023e-24,"Reject"
"Measles_15m","Tetanus_7m",7.45063134389273e-08,"Reject"
"Pertussis_7m","Polio IgG_7m",1,"Not reject"
"Pertussis_7m","Rotavirus IgG_15m",2.85374828605583e-27,"Reject"
"Pertussis_7m","Tetanus_7m",5.84802264899804e-15,"Reject"
"Polio IgG_7m","Rotavirus IgG_15m",2.9157401775802e-27,"Reject"
"Polio IgG_7m","Tetanus_7m",6.11376471658067e-15,"Reject"
"Rotavirus IgG_15m","Tetanus_7m",2.8396845842399e-15,"Reject"
