"Level..a.","Level..b.","p.value","X..No.difference"
"Measles_15m","Pertussis_7m",1.03896155012613e-05,"Reject"
"Measles_15m","Polio IgG_7m",1.7738284700127e-05,"Reject"
"Measles_15m","Rotavirus IgG_15m",2.0299962457636e-22,"Reject"
"Measles_15m","Tetanus_7m",2.20570072089308e-08,"Reject"
"Pertussis_7m","Polio IgG_7m",0.248456568805324,"Not reject"
"Pertussis_7m","Rotavirus IgG_15m",1.26903750689302e-25,"Reject"
"Pertussis_7m","Tetanus_7m",6.23504884775712e-15,"Reject"
"Polio IgG_7m","Rotavirus IgG_15m",1.48519133301989e-25,"Reject"
"Polio IgG_7m","Tetanus_7m",8.53987256156321e-15,"Reject"
"Rotavirus IgG_15m","Tetanus_7m",3.10480392171365e-12,"Reject"
