"Level..a.","Level..b.","p.value","X..No.difference"
"Measles_15m","Pertussis_7m",1.15066694390031e-38,"Reject"
"Measles_15m","Polio IgG_7m",3.92263296039313e-37,"Reject"
"Measles_15m","Rotavirus IgG_15m",4.93286375652557e-18,"Reject"
"Measles_15m","Tetanus_7m",3.30435152316293e-11,"Reject"
"Pertussis_7m","Polio IgG_7m",0.349255791091059,"Not reject"
"Pertussis_7m","Rotavirus IgG_15m",6.24028965534909e-19,"Reject"
"Pertussis_7m","Tetanus_7m",1.0474040157447e-29,"Reject"
"Polio IgG_7m","Rotavirus IgG_15m",6.69168943575204e-19,"Reject"
"Polio IgG_7m","Tetanus_7m",4.03142376618803e-29,"Reject"
"Rotavirus IgG_15m","Tetanus_7m",7.8072055033936e-17,"Reject"
