"Level..a.","Level..b.","p.value","X..No.difference"
"Measles_15m","Pertussis_7m",5.19583953272585e-40,"Reject"
"Measles_15m","Polio IgG_7m",3.92263296039313e-37,"Reject"
"Measles_15m","Rotavirus IgG_15m",7.05755849738938e-17,"Reject"
"Measles_15m","Tetanus_7m",4.33816216070453e-11,"Reject"
"Pertussis_7m","Polio IgG_7m",0.000615352173314489,"Reject"
"Pertussis_7m","Rotavirus IgG_15m",5.12656871029347e-18,"Reject"
"Pertussis_7m","Tetanus_7m",4.41493111870409e-30,"Reject"
"Polio IgG_7m","Rotavirus IgG_15m",5.93140538265252e-18,"Reject"
"Polio IgG_7m","Tetanus_7m",4.76923066407833e-29,"Reject"
"Rotavirus IgG_15m","Tetanus_7m",2.06793984264322e-15,"Reject"
