"Level..a.","Level..b.","p.value","X..No.difference"
"Measles_15m","Pertussis_7m",2.43839409171589e-17,"Reject"
"Measles_15m","Polio IgG_7m",3.78764989311277e-16,"Reject"
"Measles_15m","Rotavirus IgG_15m",2.68788253412652e-28,"Reject"
"Measles_15m","Tetanus_7m",2.33756601612687e-08,"Reject"
"Pertussis_7m","Polio IgG_7m",1.0670485693286e-05,"Reject"
"Pertussis_7m","Rotavirus IgG_15m",4.10579459161439e-30,"Reject"
"Pertussis_7m","Tetanus_7m",1.79463185383381e-31,"Reject"
"Polio IgG_7m","Rotavirus IgG_15m",4.89620751315373e-30,"Reject"
"Polio IgG_7m","Tetanus_7m",1.42347117884476e-30,"Reject"
"Rotavirus IgG_15m","Tetanus_7m",2.87411687757986e-26,"Reject"
