"Level..a.","Level..b.","p.value","X..No.difference"
"Measles_15m","Pertussis_7m",3.48446361689921e-18,"Reject"
"Measles_15m","Polio IgG_7m",3.78764989311277e-16,"Reject"
"Measles_15m","Rotavirus IgG_15m",1.00121970307005e-26,"Reject"
"Measles_15m","Tetanus_7m",0.000120750563885277,"Reject"
"Pertussis_7m","Polio IgG_7m",1.14329718606291e-19,"Reject"
"Pertussis_7m","Rotavirus IgG_15m",7.48746013970988e-29,"Reject"
"Pertussis_7m","Tetanus_7m",1.16170506160444e-29,"Reject"
"Polio IgG_7m","Rotavirus IgG_15m",1.04560715346245e-28,"Reject"
"Polio IgG_7m","Tetanus_7m",7.16901785912209e-28,"Reject"
"Rotavirus IgG_15m","Tetanus_7m",3.58216277914212e-25,"Reject"
