"Level..a.","Level..b.","p.value","X..No.difference"
"Measles_15m","Pertussis_7m",2.76724025387813e-16,"Reject"
"Measles_15m","Polio IgG_7m",1.44507873665272e-23,"Reject"
"Measles_15m","Rotavirus IgG_15m",0.00162868340030246,"Reject"
"Measles_15m","Tetanus_7m",3.19350186544501e-30,"Reject"
"Pertussis_7m","Polio IgG_7m",1.47008978746581e-12,"Reject"
"Pertussis_7m","Rotavirus IgG_15m",0.000107305409104139,"Reject"
"Pertussis_7m","Tetanus_7m",3.03602950527593e-35,"Reject"
"Polio IgG_7m","Rotavirus IgG_15m",5.29873703605966e-05,"Reject"
"Polio IgG_7m","Tetanus_7m",1.92896290987837e-36,"Reject"
"Rotavirus IgG_15m","Tetanus_7m",0.246933255806426,"Not reject"
