"Level..a.","Level..b.","p.value","X..No.difference"
"Measles_15m","Pertussis_7m",9.1372446823285e-18,"Reject"
"Measles_15m","Polio IgG_7m",1.44507873665272e-23,"Reject"
"Measles_15m","Rotavirus IgG_15m",0.00411997947170046,"Reject"
"Measles_15m","Tetanus_7m",6.37962259172884e-30,"Reject"
"Pertussis_7m","Polio IgG_7m",1.11748573943221e-09,"Reject"
"Pertussis_7m","Rotavirus IgG_15m",0.000134530973751544,"Reject"
"Pertussis_7m","Tetanus_7m",2.9061075851169e-35,"Reject"
"Polio IgG_7m","Rotavirus IgG_15m",6.80232934445204e-05,"Reject"
"Polio IgG_7m","Tetanus_7m",3.1981564470371e-36,"Reject"
"Rotavirus IgG_15m","Tetanus_7m",0.00601998615974646,"Reject"
