"Level..a.","Level..b.","p.value","X..No.difference"
"Measles_15m","Pertussis_7m",6.58408834032337e-37,"Reject"
"Measles_15m","Polio IgG_7m",4.38294446493279e-37,"Reject"
"Measles_15m","Rotavirus IgG_15m",7.22747756715195e-07,"Reject"
"Measles_15m","Tetanus_7m",2.37926302314459e-15,"Reject"
"Pertussis_7m","Polio IgG_7m",1,"Not reject"
"Pertussis_7m","Rotavirus IgG_15m",2.34676618433345e-12,"Reject"
"Pertussis_7m","Tetanus_7m",1.87613455941383e-28,"Reject"
"Polio IgG_7m","Rotavirus IgG_15m",2.24007573133992e-12,"Reject"
"Polio IgG_7m","Tetanus_7m",7.95099374268171e-29,"Reject"
"Rotavirus IgG_15m","Tetanus_7m",4.24394618892154e-10,"Reject"
