"Level..a.","Level..b.","p.value","X..No.difference"
"Measles_15m","Pertussis_7m",6.26932359353083e-37,"Reject"
"Measles_15m","Polio IgG_7m",4.38294446493279e-37,"Reject"
"Measles_15m","Rotavirus IgG_15m",3.35514081620242e-06,"Reject"
"Measles_15m","Tetanus_7m",2.65270877175733e-16,"Reject"
"Pertussis_7m","Polio IgG_7m",1,"Not reject"
"Pertussis_7m","Rotavirus IgG_15m",3.53408369433321e-12,"Reject"
"Pertussis_7m","Tetanus_7m",9.40434747843302e-28,"Reject"
"Polio IgG_7m","Rotavirus IgG_15m",3.37739569758455e-12,"Reject"
"Polio IgG_7m","Tetanus_7m",4.26146470401852e-28,"Reject"
"Rotavirus IgG_15m","Tetanus_7m",8.34715109969578e-10,"Reject"
