"Level..a.","Level..b.","p.value","X..No.difference"
"Measles_15m","Pertussis_7m",0.0145471295561484,"Reject"
"Measles_15m","Polio IgG_7m",0.0149111183106709,"Reject"
"Measles_15m","Rotavirus IgG_15m",7.0927176908471e-14,"Reject"
"Measles_15m","Tetanus_7m",0.389207541163583,"Not reject"
"Pertussis_7m","Polio IgG_7m",1,"Not reject"
"Pertussis_7m","Rotavirus IgG_15m",3.18505582580982e-15,"Reject"
"Pertussis_7m","Tetanus_7m",1.67858812294814e-09,"Reject"
"Polio IgG_7m","Rotavirus IgG_15m",3.20821964472637e-15,"Reject"
"Polio IgG_7m","Tetanus_7m",1.74974041308676e-09,"Reject"
"Rotavirus IgG_15m","Tetanus_7m",7.13544762016519e-13,"Reject"
