"Level..a.","Level..b.","p.value","X..No.difference"
"Measles_15m","Pertussis_7m",0.0124651331264151,"Reject"
"Measles_15m","Polio IgG_7m",0.0149111183106709,"Reject"
"Measles_15m","Rotavirus IgG_15m",7.2948625421816e-13,"Reject"
"Measles_15m","Tetanus_7m",0.929854724199268,"Not reject"
"Pertussis_7m","Polio IgG_7m",0.636638134180659,"Not reject"
"Pertussis_7m","Rotavirus IgG_15m",1.69124295119964e-14,"Reject"
"Pertussis_7m","Tetanus_7m",2.17344613614556e-09,"Reject"
"Polio IgG_7m","Rotavirus IgG_15m",1.78964184350614e-14,"Reject"
"Polio IgG_7m","Tetanus_7m",3.0936355464324e-09,"Reject"
"Rotavirus IgG_15m","Tetanus_7m",5.35920231753486e-12,"Reject"
